id,average,rank,latitude,longitude,elevation,state,name,total19,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
USS0021A09S,38659.8,1,48.76,-121.7,1072.9,WA,"Marten Ridge",28286,48.76,-121.7,0.04,nearest_place,,,Bellingham,WA,"Whatcom County",98227,US,"TIGER/Line® dataset from the US Census Bureau"
FMW00040505,37141.1,2,7.45,151.8333,1.5,FM,"CHUUK WSO AP",36982,0,0,0,,,,,,,,,
USS0023B18S,33732.3,3,47.71,-123.46,1484.4,WA,Buckinghorse,20590,47.71,-123.46,0.03,nearest_place,,,Fairholm,WA,"Jefferson County",98362,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021D33S,31165.1,4,45.43,-121.86,1112.5,OR,"Blazed Alder",21687,45.43,-121.86,0.09,nearest_place,,,Zigzag,OR,"Clackamas County",97049,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021A36S,30336.9,5,48.82,-121.93,1514.9,WA,"MF Nooksack",22419,48.82,-121.93,0.19,nearest_place,,,Bellingham,WA,"Whatcom County",98227,US,"TIGER/Line® dataset from the US Census Bureau"
USS0022D03S,30043.8,6,45.45,-122.03,819.9,OR,"South Fork Bull Run",21478,45.45,-122.03,0.1,nearest_place,,,Brightwood,OR,"Clackamas County",97011,US,"TIGER/Line® dataset from the US Census Bureau"
USW00021504,28667.4,7,19.7192,-155.0531,11.6,HI,"HILO INTL AP",25615,19.718419,-155.05162,0.97,nearest_street,176,"Operations St",Hilo,HI,"Hawaii County",96720,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021D04S,28244.3,8,45.46,-121.7,1344.2,OR,"Red Hill",20381,45.46,-121.7,0.09,nearest_place,,,"Mount Hood-Parkdale",OR,"Hood River County",97041,US,"TIGER/Line® dataset from the US Census Bureau"
USW00094240,26770.1,9,47.9375,-124.555,56.4,WA,"QUILLAYUTE STATE AP",20567,47.936709,-124.553048,0.97,nearest_street,4324,"Quillayute Rd",Forks,WA,"Clallam County",98331,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021C26S,26502,10,46.27,-121.96,1197.9,WA,"Lone Pine",18785,46.27,-121.96,0.03,nearest_place,,,Randle,WA,"Skamania County",98377,US,"TIGER/Line® dataset from the US Census Bureau"
USS0021B59S,25898.8,11,47.28,-121.47,984.5,WA,"Meadows Pass",19368,47.28,-121.47,0.1,nearest_place,,,Stampede,WA,"King County",98035,US,"TIGER/Line® dataset from the US Census Bureau"
